Warp ID,Name,Client Name,Warehouse Type,Require Appointment,Address,PU Access Code,PU Instructions,PU Note,DO Access Code,DO Instructions,DO Note,Primary Contact Name,Primary Contact Phone,Primary Contact Email,Secondary Contact Name,Secondary Contact Phone,Secondary Contact Email,Organization,Is Warp Crossdock Location,Required Check In,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Can load/un-load a cargo van?
89917,ACCL-DAY,"Warp Cross Dock - Vernon, CA",crossdock,No,"2619 Needmore Road, Dayton, OH, 45414",N/A,Must Ask for ACCL Control#,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,DAY@AcceleratedUSA.com,9372976182,N/A,N/A,N/A,N/A,N/A,Yes,No,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Open - Missed time,Closed,N/A
89915,ACCL-CHA,"Warp Cross Dock - Vernon, CA",crossdock,No,"225 1st Street, Fort Oglethorpe, GA, 30742",N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have any questions",N/A,N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have any questions.","Same Day Linehaul Cutoff: 2pm
 Drop Off Cut Off Time: 4pm",Kevin Meyer,7068611001,HSV@AcceleratedUSA.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Closed,Closed,N/A
89011,WTCH-LAX-9,"Warp Cross Dock - Vernon, CA
 eShipping
 Food Service Direct
 Parsel, Inc",crossdock,No,"1305 Wholesale Street, Los Angeles, CA, 90021",N/A,N/A,N/A,N/A,N/A,N/A,Amaury Gitzner,3236985350,a.gitzner@wearewarp.com,Kevin,7472384042,k.barnes@wearewarp.com,N/A,Yes,No,Open 03:30-18:30,Open 03:30-18:30,Open 03:30-18:30,Open 03:30-18:30,Open 03:30-18:30,Open 05:00-18:00,Open 08:00-18:00,N/A
82264,WTCH-HNL-1,"Warp Cross Dock - Vernon, CA",crossdock,No,"119 Kaulele Place, Honolulu, HI, 96819",N/A,N/A,N/A,N/A,N/A,N/A,Erika,8087990544,ErikaC@islandmovers.com,Jason,8085201033,jasonm@islandmovers.com,N/A,No,No,Open 07:00-15:00,Open 07:00-15:00,Open 07:00-15:00,Open 07:00-15:00,Open 07:00-15:00,Closed,Closed,N/A
82259,WTCH-DFW-4,"Warp Cross Dock - Vernon, CA",crossdock,No,"3100 Roy Orr Boulevard, suite 100, Grand Prairie, TX, 75050",N/A,"Box Trucks please wait to be loaded. Facility may be closed upon arrival. Please contact Vidal at (480) 875-5205 If there is no answer, please don't leave & contact WARP dispatch. Phone numbers also on the outside of the building.",N/A,N/A,"Please contact Vidal at (480) 875-5205 If there is no answer, please don't leave & contact WARP dispatch. Phone numbers also on the outside of the building.",N/A,Slobo,6023775175,slobo@cosiclogistics.com,Vidal,4808755205,vidal@cosiclogistics.com,N/A,No,No,Open 07:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Closed,Closed,N/A
80637,ACCL-CVG,"Warp Cross Dock - Vernon, CA",crossdock,No,"1825 Airport Exchange Boulevard, Erlanger, KY, 41018",N/A,"STE 200, You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have any questions.",N/A,N/A,"STE 200, You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have any questions.","Same Day Linehaul Cutoff: 12pm
 Drop Off Cut Off Time: 7pm",Rick Webster,8592823200,cvg@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 07:00-21:00,Open 07:00-21:00,Open 07:00-21:00,Open 07:00-21:00,Open 07:00-21:00,Closed,Closed,Yes
80636,ACCL-SDF,"Warp Cross Dock - Vernon, CA",crossdock,No,"7635 National Turnpike, Louisville, KY, 40214",N/A,#190,N/A,N/A,N/A,cut off time 6PM,Terminal Manager,5023843026,sdf@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Closed,Closed,N/A
80635,ACCL-GSO,"Warp Cross Dock - Vernon, CA",crossdock,No,"532 North Regional Road, Greensboro, NC, 27409",N/A,Find Door 532 B. You will be asked to fill out a label for each pallet you are dropping off. Pallets MUST be labeled correctly so that they reach the proper destination. Please put the Control # located in the ref field for the shipment on the BOL or on your app. Make sure shipper paperwork is given to the dock. Please ask staff at dock if you have any questions.,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Pallets MUST be labeled correctly so that they reach the proper destination. Please put the Control # located in the ref field for the shipment on the BOL or on your app. Make sure shipper paperwork is given to the dock. Please ask staff at dock if you have any questions.,N/A,Main,7043570990,info@deloatchtrans.com,Jon Schwerdtfeger,N/A,jon@acceleratedusa.com,N/A,Yes,No,Open 09:30-17:00,Open 09:30-17:00,Open 09:30-17:00,Open 09:30-17:00,Open 09:30-17:00,Closed,Closed,N/A
80634,ACCL-GSP,"Warp Cross Dock - Vernon, CA
 GLT Logistics",crossdock,No,"10395 East Greenville Highway, Wellford, SC, 29385",N/A,Ask for the Control #,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Jon Schwerdtfeger,7043570990,clt@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-19:00,Open 08:00-19:00,Open 08:00-19:00,Open 08:00-19:00,Open 08:00-19:00,Closed,Closed,N/A
80633,ACCL-BHM,"Warp Cross Dock - Vernon, CA",crossdock,No,"1531 Red Hollow Road, Birmingham, AL, 35215",N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have ANY questions.",N/A,N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have ANY questions.","Same Day Linehaul Cutoff: 4pm
 Drop Off Cut Off Time: 6pm",Kevin Meyer,2564648717,bhm@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Closed,Closed,N/A
80632,ACCL-HSV,"Warp Cross Dock - Vernon, CA",crossdock,No,"9310 Madison Boulevard, Madison, AL, 35758",N/A,Ask for the Control #,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Allen Chenoweth,6153670949,hsv@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Closed,Closed,N/A
80631,ACCL-BNA,"Warp Cross Dock - Vernon, CA",crossdock,No,"515 Airpark Center Drive, Nashville, TN, 37217",N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have ANY questions.",N/A,N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with the paperwork. Ask the staff if you have ANY questions.","Same Day Linehaul Cutoff: 12pm
 Drop Off Cut Off Time: 8pm",Bobby Burton,6153670949,BNA@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-20:00,Open 08:00-20:00,Open 08:00-20:00,Open 08:00-20:00,Open 08:00-20:00,Open 09:00-15:00,Closed,N/A
80630,ACCL-MEM,"Warp Cross Dock - Vernon, CA
 GLT Logistics",crossdock,No,"5280 Meltech Boulevard, Memphis, TN, 38118",N/A,"Ste 116, ask for the Control #
 Warp Cross Dock - Vernon, CA: Ste 116, ask for the Control #
 

 GLT Logistics: Ste 116, ask for the Control #",N/A,N/A,"You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.
 Warp Cross Dock - Vernon, CA: You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.
 

 GLT Logistics: You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.",N/A,Jeremy Ramsey,9013969555,oceanmem@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-21:00,Open 08:00-21:00,Open 08:00-21:00,Open 08:00-21:00,Open 08:00-21:00,Closed,Closed,N/A
80629,ACCL-ELP,"Warp Cross Dock - Vernon, CA",crossdock,No,"13490 Pellicano Drive, El Paso, TX, 79928",N/A,STE B. You will be asked to fill out a label for each pallet you are dropping off. Pallets MUST be labeled correctly so that they reach the proper destination. Please put the Control # located in the ref field for the shipment on the BOL or on your app. Make sure shipper paperwork is given to the dock. Please ask staff at dock if you have any questions.,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Pallets MUST be labeled correctly so that they reach the proper destination. Please put the Control # located in the ref field for the shipment on the BOL or on your app. Make sure shipper paperwork is given to the dock. Please ask staff at dock if you have any questions.,N/A,Roger Saucedo,8432789563,elp@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Open 08:00-17:00,Closed,Closed,N/A
80628,ACCL-MSP,"Warp Cross Dock - Vernon, CA",crossdock,No,"3025 Lunar Lane, Eagan, MN, 55121",N/A,Ste 400,N/A,N/A,N/A,Linehaul cut off time 6PM,Travis Nelson,9528887888,msp@acceleratedusa.com,N/A,N/A,N/A,N/A,Yes,No,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Open 08:00-18:00,Closed,Closed,N/A
77655,WTCH-ATL-4,"Warp Cross Dock - Vernon, CA",crossdock,No,"610 Waterfront Drive Southwest, Atlanta, GA, 30336",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,Open 09:00-16:00,Open 09:00-16:00,Open 09:00-16:00,Open 09:00-16:00,Open 09:00-16:00,Closed,Closed,N/A
74688,WTCH-DCA-1,"Warp Cross Dock - Vernon, CA",crossdock,No,"9610 Gunston Cove Road, suite b1, Lorton, VA, 22079",N/A,N/A,N/A,N/A,N/A,N/A,Marcus Kelly,7036872477,mkelly@rcsmoving.com,Anthony Holmes,N/A,aholmes@rcsmoving.com,N/A,No,No,Open 08:00-15:00,Open 08:00-15:00,Open 08:00-15:00,Open 08:00-15:00,Open 08:00-15:00,Closed,Closed,N/A
70380,WTCH-EWR-3,"Warp Cross Dock - Vernon, CA",crossdock,No,"25a Cotters Lane, East Brunswick, NJ, 08816",N/A,Ring The Door Bell And Sign In. The BOL needs to be printed beforehand.,"Any drop-off after 4:30PM can call this phone#
 (800)-376-2808",N/A,Ring The Door Bell And Sign In,N/A,Sam Perez,7326300003,operations@rapidships.com,Anthony Gomez,8003762808,agomez@rapidships.com,N/A,No,No,Open 07:00-15:30,Open 07:00-15:30,Open 07:00-15:30,Open 07:00-15:30,Open 07:00-15:30,Closed,Closed,N/A
68343,WTCH-SFO-1,"Warp Cross Dock - Vernon, CA",crossdock,No,"2071 Ringwood Avenue, suite d, San Jose, CA, 95131",N/A,"DRIVERS MUST PROVIDE THEIR OWN BOLs. Outbound routes will not be deployed before 5:15am. Please park in the large lot on the right, walk up to the front door, & ring the bell to check in. CLOSES AT 16:00.","M-F 8am - 4pm, closed for lunch noon-1pm. All other activity by appointment.",N/A,"Park in the large lot on the right side, enter the front door that says Piedmont Moving, & ring the bell for assistance. Open Mon-Fri @5:30-16:00 and Sat @05:30-07:30.","M-F 8am - 4pm, closed for lunch noon-1pm. All other activity by appointment.
 

 Typically require a delivery appointment.",Tony Sierra (Primary),4087599089,dispatch2@piedmontmoving.com,Adela Rico,4087105410,Adela@piedmontmoving.com,N/A,No,No,Open 05:30-16:00,Open 05:30-16:00,Open 05:30-16:00,Open 05:30-16:00,Open 05:30-16:00,Open 05:30-07:30,Closed,Yes
65459,WTCH-LAS-2,"Warp Cross Dock - Vernon, CA",crossdock,No,"7215 Bermuda Road, Las Vegas, NV, 89119",N/A,"The driver should check-in and ask for the Point of Contact (POC).
 

 The driver must provide the Bill of Lading (BOL) to the POC.
 

 The driver will wait for confirmation and further instructions.",N/A,N/A,The driver should check-in and ask for the POC then provide the BOL & wait while they're loaded,N/A,Christopher Simpson,5106779146,cs@jandamg.com,Mellody Abrego,7027559380,mellody@jandamg.com,N/A,No,No,Open 07:00-16:00,Open 07:00-16:00,Open 05:00-16:00,Open 07:00-16:00,Open 07:00-16:00,Closed,Closed,N/A
61323,WTCH-SMF-1,"Warp Cross Dock - Vernon, CA",crossdock,No,"1627 Main Avenue, Sacramento, CA, 95838",N/A,N/A,N/A,N/A,N/A,N/A,Tim,9168337489,xd@tfssac.com,Receiving Office,9164000227,N/A,N/A,No,No,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Closed,Closed,N/A
61160,WTCH-OKC-1,"Warp Cross Dock - Vernon, CA",crossdock,No,"1923 South Pennsylvania Avenue, Oklahoma City, OK, 73108",N/A,N/A,N/A,N/A,N/A,N/A,Angela Kuykendall,4054410001,akuykendall@transloadandlogistics.com,Jim Berry,4054747876,jberry@transloadandlogistics.com,N/A,Yes,No,Open 00:00-23:59,Open 00:00-23:59,Open 00:00-23:59,Open 00:00-23:59,Open 00:00-23:59,Open 00:00-23:59,Open 00:00-23:59,N/A
60967,ACCL-ORD,"Warp Cross Dock - Vernon, CA",crossdock,No,"614 Supreme Drive, Bensenville, IL, 60106",N/A,"You're REQUIRED to fill out a label for every pallet you're dropping off here. If not labeled or labeled incorrectly to where it gets sent to the wrong destination, your rate will be adjusted for mis-delivery. Please make sure to upload a photo OF THE PALLET and provide them with paperwork. Ask the staff if you have ANY questions.",N/A,N/A,N/A,Drop Off Cut Off Time: 6pm,Chris Long,6306168925,ORD@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,Yes,No,Open 07:30-20:00,Open 07:30-20:00,Open 07:30-20:00,Open 07:30-20:00,Open 07:30-20:00,Open 07:30-23:00,Open 07:30-23:00,N/A
59948,ACCL-TPA,"Priority1
 Warp Cross Dock - Vernon, CA",crossdock,No,"4912 West Knox Street, ste 100, Tampa, FL, 33634",N/A,N/A,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,Drop Off Cut Off Time: 7pm,Ruben Munoz,8138843446,TPA@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,No,No,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Open 07:00-19:00,Closed,Closed,N/A
59947,ACCL-SFO,"Worldwide Express
 Warp Cross Dock - Vernon, CA
 Logistics Freight Solutions Inc dba Primo",crossdock,No,"499 Valley Drive, Brisbane, CA, 94005",N/A,N/A,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Terminal Manager,4159525918,SFO@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,No,No,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-12:00,Closed,N/A
59946,ACCL-SAT,"Warp Cross Dock - Vernon, CA",crossdock,No,"6417 Tri County Parkway, STE 100, Schertz, TX, 78154",N/A,N/A,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,SAT,2109674512,SAT@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,No,No,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-22:00,Open 08:00-12:00,Closed,N/A
59945,ACCL-RDU,"Warp Cross Dock - Vernon, CA",crossdock,No,"2800 Perimeter Park Drive, ste a, Morrisville, NC, 27560",N/A,You will be asked to fill out a label for each pallet you are dropping off. Pallets MUST be labeled correctly so that they reach the proper destination. Please put the Control # located in the ref field for the shipment on the BOL or on your app. Make sure shipper paperwork is given to the dock. Please ask staff at dock if you have any questions.,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Pallets MUST be labeled correctly so that they reach the proper destination. Please put the Control # located in the ref field for the shipment on the BOL or on your app. Make sure shipper paperwork is given to the dock. Please ask staff at dock if you have any questions.,Drop Off Cut Off Time: 7pm,Mike Logan,9194660720,RDU@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,No,No,Open 08:00-18:30,Open 08:00-18:30,Open 08:00-18:30,Open 08:00-18:30,Open 08:00-18:30,Closed,Closed,N/A
59944,ACCL-PHX,"Warp Cross Dock - Vernon, CA",crossdock,No,"4010 South 21st Street, Phoenix, AZ, 85040",N/A,N/A,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Terminal Manager,6022671946,PHX@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,No,No,Open 10:00-18:00,Open 10:00-18:00,Open 10:00-18:00,Open 10:00-18:00,Open 10:00-18:00,Open 10:00-18:00,Closed,N/A
59943,ACCL-PHL,"Warp Cross Dock - Vernon, CA",crossdock,No,"113 Darby Commons Court, Folcroft, PA, 19032",N/A,N/A,N/A,N/A,You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Terminal Manager,6105371190,PHL@ACCELERATEDUSA.COM,N/A,N/A,N/A,N/A,No,No,Open 09:00-20:00,Open 09:00-20:00,Open 09:00-20:00,Open 09:00-20:00,Open 09:00-20:00,Closed,Closed,N/A
59942,ACCL-MIA,"Warp Cross Dock - Vernon, CA",crossdock,No,"8501 Northwest 17th Street, ste 101, Doral, FL, 33126",N/A,Ask for the shipment by the control # listed on the BOL or in your app,N/A,N/A,Suite 101// You will be asked to fill out a label for each pallet you are dropping off. Please put the ACCL # located in the ref # for the shipment in your app. Make sure shipper paperwork is given to the dock. It is imperative that these pallets are labeled correctly so that they reach the proper destination. Please ask staff at dock if you have any questions.,N/A,Ruben Munoz,7865302041,cei-acc@cargoexpressintl.us,Ivette Escobar,3055935132,ivette@cargoexpressintl.us,N/A,No,No,Open 08:00-17:30,Open 08:00-17:30,Open 08:00-17:30,Open 08:00-17:30,Open 08:00-17:30,Closed,Closed,N/A
